Survey Year,Year,Site,Species,Abundance,Density,Area
1,2019,DB2,MCAV,2,0.066666667,30
1,2019,DB2,PAST,3,0.1,30
1,2019,DB2,SINT,1,0.033333333,30
1,2019,DB2,SSID,17,0.566666667,30
1,2019,DB3,MCAV,3,0.1,30
1,2019,DB3,PAST,1,0.033333333,30
1,2019,DB3,SSID,2,0.066666667,30
1,2020,Deerfield,MCAV,3,0.1,30
1,2020,Deerfield,MDEC,1,0.033333333,30
1,2020,Deerfield,SSID,2,0.066666667,30
1,2020,FTL Deep,MCAV,9,0.3,30
1,2020,FTL Deep,PAST,3,0.1,30
1,2020,FTL Deep,SSID,8,0.266666667,30
1,2019,FTL1,AAGA,3,0.1,30
1,2019,FTL1,PAST,8,0.266666667,30
1,2019,FTL1,PPOR,4,0.133333333,30
1,2019,FTL1,SINT,2,0.066666667,30
1,2019,FTL1,SSID,15,0.5,30
1,2019,FTL2,DSTO,1,0.033333333,30
1,2019,FTL2,MCAV,5,0.166666667,30
1,2019,FTL2,SSID,2,0.066666667,30
1,2019,FTL3,MCAV,2,0.066666667,30
1,2019,FTL3,PAST,2,0.066666667,30
1,2019,FTL3,SINT,3,0.1,30
1,2019,FTL3,SSID,8,0.266666667,30
1,2019,FTL4,AAGA,2,0.066666667,30
1,2019,FTL4,DSTO,1,0.033333333,30
1,2019,FTL4,MCAV,3,0.1,30
1,2019,FTL4,PAST,3,0.1,30
1,2019,FTL4,SSID,19,0.633333333,30
1,2019,FTL5,DLAB,1,0.033333333,30
1,2019,FTL5,MCAV,3,0.1,30
1,2019,FTL5,PAST,1,0.033333333,30
1,2019,FTL5,SSID,14,0.466666667,30
1,2019,FTL6,AAGA,98,3.266666667,30
1,2019,FTL6,PAST,2,0.066666667,30
1,2019,HB2,DSTO,1,0.033333333,30
1,2019,HB2,PAST,6,0.2,30
1,2019,HB2,SINT,4,0.133333333,30
1,2019,HB2,SSID,6,0.2,30
1,2019,HB3,CNAT,1,0.033333333,30
1,2019,HB3,MCAV,8,0.266666667,30
1,2019,HB3,MDEC,1,0.033333333,30
1,2019,HB3,PAST,3,0.1,30
1,2019,HB3,SINT,1,0.033333333,30
1,2019,HB3,SSID,12,0.4,30
1,2019,HH2,PPOR,6,0.2,30
1,2019,HH2,SSID,78,2.6,30
1,2020,Hillsboro,MCAV,2,0.066666667,30
1,2020,Hillsboro,SINT,1,0.033333333,30
1,2020,Hollywood,MCAV,1,0.033333333,30
1,2020,Hollywood,SINT,3,0.1,30
1,2020,Hollywood,SSID,2,0.066666667,30
1,2020,JUL Deep,MCAV,3,0.1,30
1,2020,JUL Deep,MDEC,3,0.1,30
1,2020,JUL Deep,PAST,4,0.133333333,30
1,2020,JUL Deep,SINT,4,0.133333333,30
1,2020,JUL Deep,SSID,8,0.266666667,30
1,2019,JUL_1,DSTO,1,0.033333333,30
1,2019,JUL_1,MCAV,13,0.433333333,30
1,2019,JUL_1,PAST,2,0.066666667,30
1,2019,JUL_1,SINT,1,0.033333333,30
1,2019,JUL_1,SSID,20,0.666666667,30
1,2019,JUL_2,DSTO,1,0.033333333,30
1,2019,JUL_2,MCAV,10,0.333333333,30
1,2019,JUL_2,MDEC,1,0.033333333,30
1,2019,JUL_2,PAST,3,0.1,30
1,2019,JUL_2,SINT,1,0.033333333,30
1,2019,JUL_2,SSID,7,0.233333333,30
1,2019,JUL_6,SSID,1,0.033333333,30
1,2019,JUL_7,AAGA,2,0.066666667,30
1,2019,JUL_7,DSTO,2,0.066666667,30
1,2019,JUL_7,MCAV,10,0.333333333,30
1,2019,JUL_7,MMEA,1,0.033333333,30
1,2019,JUL_7,PAST,7,0.233333333,30
1,2019,JUL_7,SINT,5,0.166666667,30
1,2019,JUL_7,SSID,39,1.3,30
1,2019,JUL_8,DSTO,2,0.066666667,30
1,2019,JUL_8,MCAV,8,0.266666667,30
1,2019,JUL_8,PAST,4,0.133333333,30
1,2019,JUL_8,SINT,3,0.1,30
1,2019,JUL_8,SSID,7,0.233333333,30
1,2019,POMP1,MCAV,5,0.166666667,30
1,2019,POMP1,PAST,4,0.133333333,30
1,2019,POMP1,PPOR,5,0.166666667,30
1,2019,POMP1,SSID,26,0.866666667,30
1,2019,POMP2,MCAV,1,0.066666667,15
1,2019,POMP2,SINT,2,0.133333333,15
1,2019,POMP2,SSID,6,0.4,15
1,2019,POMP3,MCAV,2,0.133333333,15
1,2019,POMP3,SSID,2,0.133333333,15
1,2019,POMP4,SSID,125,8.333333333,15
1,2019,POMP5,DSTO,1,0.033333333,30
1,2019,POMP5,MCAV,2,0.066666667,30
1,2019,POMP5,PAST,1,0.033333333,30
1,2019,POMP5,SSID,51,1.7,30
1,2019,POMP6,MCAV,9,0.3,30
1,2019,POMP6,SCUB,1,0.033333333,30
1,2019,POMP6,SSID,7,0.233333333,30
1,2020,Pompano,MCAV,2,0.066666667,30
1,2020,Pompano,PAST,2,0.066666667,30
1,2020,Pompano,SCUB,1,0.033333333,30
1,2020,Pompano,SINT,1,0.033333333,30
1,2020,Pompano,SSID,9,0.3,30
2,2020,DB2,MCAV,2,0.066666667,30
2,2020,DB2,PAST,3,0.1,30
2,2020,DB2,SBOU,1,0.033333333,30
2,2020,DB2,SINT,2,0.066666667,30
2,2020,DB2,SSID,26,0.866666667,30
2,2020,DB3,MCAV,4,0.133333333,30
2,2020,DB3,PAST,1,0.033333333,30
2,2020,DB3,SSID,5,0.166666667,30
2,2021,Deerfield,MDEC,1,0.033333333,30
2,2021,Deerfield,SSID,2,0.066666667,30
2,2021,FTL Deep,MALI,1,0.033333333,30
2,2021,FTL Deep,MCAV,6,0.2,30
2,2021,FTL Deep,MDEC,2,0.066666667,30
2,2021,FTL Deep,PAST,5,0.166666667,30
2,2021,FTL Deep,SINT,1,0.033333333,30
2,2021,FTL Deep,SSID,2,0.066666667,30
2,2020,FTL1,AAGA,1,0.033333333,30
2,2020,FTL1,PAST,7,0.233333333,30
2,2020,FTL1,SSID,3,0.1,30
2,2020,FTL2,DSTO,1,0.033333333,30
2,2020,FTL2,MCAV,3,0.1,30
2,2020,FTL2,SSID,9,0.3,30
2,2020,FTL3,MCAV,2,0.066666667,30
