Survey Year,Year,Site,Quad,Species,Live.Length,Live.Width,Live Cover,Notes
1,2019,FTL4,26,MCAV,131,52,6812,
2,2020,FTL5,25,MCAV,115,40,4600,
2,2020,FTL4,26,MCAV,100,50,5000,
3,2021,FTL4,25,MCAV,100,45,4500,
3,2021,FTL4,23,ACER,80,60,4800,
1,2019,FTL4,26,MCAV,75,34,2550,
3,2022,FTL Deep,17,OFRA,67,53,3551,
2,2021,FTL Deep,37,MCAV,65,50,3250,
1,2020,FTL Deep,17,OFRA,58,45,2610,
1,2019,FTL5,2,MCAV,55,25,1375,
1,2019,FTL5,27,SSID,55,26,1430,
2,2020,FTL4,24,ACER,55,45,2475,
3,2021,FTL4,16,MCAV,55,30,1650,
1,2020,Deerfield,4,MCAV,55,35,1925,
3,2022,Pompano,35,MCAV,52,37,1924,
3,2021,FTL4,24,MCAV,50,30,1500,
3,2021,FTL5,2,MCAV,50,30,1500,
3,2021,FTL5,20,MCAV,50,35,1750,
2,2021,FTL Deep,17,OFRA,50,40,2000,
1,2019,FTL4,26,MCAV,49,27,1323,
2,2021,JUL Deep,6,ALAM,49,40,1960,
1,2019,FTL5,35,MCAV,48,45,2160,
3,2021,FTL5,27,SSID,48,23,1104,
2,2020,FTL5,27,SSID,47,25,1175,
2,2021,FTL Deep,12,ALAM,47,31,1457,
2,2021,Pompano,35,MCAV,47,35,1645,
1,2019,FTL5,24,MCAV,46,13,598,
1,2019,FTL5,24,MCAV,46,45,2070,
3,2021,FTL5,6,MCAV,46,3,138,
3,2022,FTL Deep,37,MCAV,46,35,1610,
1,2019,FTL5,20,MCAV,45,36,1620,
2,2020,FTL5,24,MCAV,45,35,1575,
1,2020,Hillsboro,1,MALI,45,35,1575,
3,2022,Deerfield,4,MDEC,45,35,1575,
3,2022,Hillsboro,1,MALI,45,40,1800,
3,2022,FTL Deep,12,ALAM,45,29,1305,
1,2019,FTL5,39,MCAV,44,27,1188,
2,2020,FTL4,15,MCAV,44,31,1364,
2,2020,FTL4,24,MCAV,44,31,1364,
3,2021,FTL1,38,SSID,44,17,748,
1,2020,FTL Deep,37,MCAV,44,25,1100,
1,2019,FTL5,25,MCAV,43,36,1548,
2,2020,FTL5,6,MCAV,43,33,1419,
1,2019,FTL6,37,MCAV,42,24,1008,
3,2021,FTL5,25,MCAV,42,39,1638,
2,2021,Hillsboro,8,HCUC,42,24,1008,
1,2019,FTL1,38,SSID,41,15,615,
